DM_EVENT.date_ops_start,DM_ACTIVITY.activity_code,DM_ACTIVITY.activity_memo
11/01/2014,F4,"Circulate bottom up (950 lpm, 140 rpm) Observe losses at 950 lpm, loss rate 60 bbls/ hr, reduce flow and establish zero loss rate. Stage pumps up to 700 lpm, no loss. (total lost to formation 27 bbls), Btm up sample: 70% clay, 30% sand, Max gas 1.5%"
11/01/2014,F1,"Drill 6-1/8"" hole from 3362 m to 3603 mMD/ 2998.8 mTVD (TVD projection) Max gas 35.1% @ 3517.5 m Background gas 0.60% Drilling parameter: 12-16 klbs, 1000 lpm, 2850-3050 psi, 120-180 rpm, 10-13 kft-lbs. Rotate: 241 m/ 10.1 hrs Avg ROP 23.8 m/hr Pick up wt 261 klbs, Slack off wt 182 klbs, Rotate wt 220 klbs Note: - Ream every stand            - Hole size from propane lag check, First/Peak/Avg = 6.24""/6.49""/6.36""  00:00 - 06:00 hrs Operation =========================== 00:00 - 02:00 hrs Drill 6-1/8"" hole from 3603 m to 3643 mMD/ 3028.2 mTVD (TD) Note: - Bottom most gas sand at 3560-3570 m 02:00 - 03:15 hrs Circulate bottom up (950 lpm / 140 rpm) Observe losses at 950 lpm, loss rate 60 bbls/ hr, reduce flow and establish zero loss rate. Stage pumps up to 700 lpm, no loss. (total lost to formation 27 bbls), Btm up sample: 70% clay, 30% sand, Max gas 1.5% 03:15 - 05:15 hrs Perform pump off test. Circulate bottom up. (700 lpm, 1800 psi, 140 rpm, 8-9 kft.lbs) Note: - Pump off gas 1.12%, Background 0.3 % 05:15 - 06:00 hrs Drop EMS. Wait 20 min for EMS free fall and pump down to seat on Totco ring. (700 lpm, 1800 psi)"
11/01/2014,C3,"Nipple down BOP, riser adapter and riser. Hold Debrief.  ===Rig release from AT-24-K to AT-24-R at 10:30 hrs on 3 February 2014.=== ===Total day on well 12.52 days/11.53 days AFE.===  =====Offline operation on AT-24-K ====== 10:30 - 11:15  hrs Install cement adapter. Retrieve BPV. R/U cement head & lines. 11:15 - 12:15  hrs Circulate bottom up (700 lpm, 3000 psi) No losses. Max gas 2.07% 12:15 - 13:15 hrs Rig pump 180 bbls of 1.70 SG MudPUSH WHT spacer. 13:15 - 14:30 hrs Cement unit flush and pressure test line to 6500 psi. Pump 241.4 bbls of 1.90 SG cement. (6.49"" hole size, no excess) 14:30 - 14:45 hrs Cement unit flush line with sea water until clean sea water appear. 14:45 - 16:00 hrs Drop wiper plug. Displace cement with 5 bbl brine + 58.6 bbls base oil + 5 bbls brine until bump plug@ 5800 psi/10 min. CIP 15:40 hrs. Bleed pressure, no backflow. Note: - 57 bbls of contaminated spacer. No losses while displacing cement.           - Estimate TOC from Vol.calulation @ 1267 m.           - Cycle DHSV 10 times after cement wiper plug pass DHSV."
11/01/2014,C2,"Drop top plug. Cement unit displace with 20 bbls of 1.43 SG SDF. Rig pump and displace with 298 bbls of 1.43 SG SBM. Bump plug. Cement in place 06:25 hrs. Pressure test casing 4000 psi/10 min, OK. Bleed off pressure, no back flow. Loss 10 bbls while displacing cement Note: - Observe 60 bbls of pure spacer return on surface           - Estimate TOC from volumetric calculation 1138 m (529 m above 9-5/8"" shoe)           - Change saver sub from 4-1/2"" IF to XT39 while cementing."
11/01/2014,C2,"Hold PJSM. Rig up cement head and line. Circulate and condition mud prior to cement job (600 lpm, 300 psi)  Note: - Observe loss rate 72 bbls/hr at 4 bpm, loss 48 bbls.           - No loss at 4.5 bpm after circulate first bottom up"
11/01/2014,C2,"Drop top plug. Cement unit pump 20 bbls of 1.12 SG WBM. Switch to rig pump and continue displace with 378.4 bbl of 1.12 SG WBM, 7 bpm. CIP 00:00 hrs. Note: - Estimate top of cement 700 m from volumetric calculation.           - No losses during cement job  00:00 - 06:00 hrs Operation ================================== 00:00 - 00:30 hrs Continue displace cement and bump plug to 4000 psi. Observe pressure drop 30 psi/min Troubleshoot by isolate mud pump and cement unit, neg. Check for surface leakage, no leaks. Bleed off pressure, no back flow . 00:30 - 03:00 hrs Rig down cement head. Pull out of hole 9-5/8"" hanger running tool. Check internal O-ring seal. Observe O-ring damaged. Change out seal. Run in and screw in running tool. Make up circulating swedge. Pressure test casing to 4000 psi/10 min, OK. 03:00 - 03:45 hrs Rig down circulating swedge.Lay down 9-5/8"" landing joint. Change out 9-5/8"" casing hanger running tool and make up new one with 9-5/8"" hanger for next well. 03:45 - 04:15 hrs Rig down 9-5/8"" casing equipment. Change out handling equipment. 04:15 - 05:00 hrs Make up jetting tool. Jet well head with sea water (1400 lpm, 500 psi, 10 rpm). 05:00 - 05:45 hrs Set and pressure test 9-5/8"" pack off 3000 psi/ 10 min, OK. L/D running tool. 05:45 - 06:00 hrs Hold PJSM. Rig up diverter handling equipment. "
17/01/2014,P4F,"Continue to RIH 2-7/8"" 6.4# 13CR L80 JFEBear from 2433 mMD to 2962 mMD. Break circulation (400 lpm, 1000 psi).   Note: - Slowly RIH through 7"" casing window (see no resistance).           - Running speed: 25 JPH  00:00 - 06:00 hrs Operations ======================== 00:00 - 01:45 hrs Continue to RIH 2-7/8"" 6.4# 13CR L80 JFEBear from 2962 mMD to 3447 mMD. No mud losses. Note: - Running speed: 30 JPH. 01:45 - 04:30 hrs Make up circulating swedge. Circulate with 675 lpm, 3000 psi and 20 m pipe reciprocation. No mud losses. Max gas 3.84%  04:30 - 06:00 hrs Make up DHSV. Install control line. Pressure test to 7000/9000 psi (Hydraulic return 125/150 cc). RIH 2-7/8"" 6.4# 13CR L80 JFEBear completion with 9000 psi in control line from 3447 mMD to 3583 mMD."
17/01/2014,C2,"Rig up cement head and line. Circulate prior to perform cement job (1040 lpm/300 psi), flow line temp stabilize at 47?C. Max gas 6.46 %. No losses. "
17/01/2014,C2,"Line up to cement unit. Pump 2.7 m3 of preflush of SW. Pressure test line to 4500 psi. Mix and pump 38.9 m3 of 1.50 SG lead and follow with 10.2 m3 of 1.91 SG tail slurry (use hole size = 12.69"", no excess). Drop top plug. Displace with 1.6 m3 of SW by cement unit. Switch to rig pump. Displace cement with 70.6 m3 of 1.12 SG WBM. Bump plug with 1000 psi over circulating pressure (500 psi), hold pressure 10 mis - ok. CIP 18:35 hrs. Bleed off pressure, no back flow. No mud loss during cement job. Check float holding - ok. Estimate TOC by differential pressure @ 783 m and by volumetric @700 mMD."
17/01/2014,C2,"Hold PJSM. Rig up CMT head and lines. Circulate bottom up prior to perform CMT (1040 lpm/ 1250 psi). Flow line temp stable at 61?C and max gas 5.78%, no mud losses."
17/01/2014,C1,"Continue run in hole with  7"" 29# T95 TPCQ casing to 2515 mMD.   Note: Avg running speed 18 JPH and no mud losses. "
17/01/2014,C2,"Pump 1.6 m3 of Base Oil. Pump 25.4 m3 of 1.43 SG HT MCS-GS spacer (874 lpm/ 1160 psi). Line up to cement unit. Pump 0.3 m3 of SW. Pressure test line to 4500 psi. Drop bottom wiper plug. Mix and pump 13.2 m3 of 1.62 SG (400 lpm) lead gas tight slurry and follow with 4.9 m3 of 1.80 SG (580 lpm) tail gas tight slurry (use hole size = 9.01"", no excess). Drop top wiper plug. Displace with 1.59 m3 of 1.38 SG SDF by cement unit. Switch to rig pump (pump eff 97%). Displace cement with 48.6 m3 (640 lpm) of 1.38 SG SDF. Bump plug at 800 psi (Cal 940 psi). CIP @ 21:53 hrs. Pressure test casing to 4000 psi for 10 mins_ok. Bleed off pressure. Check float holding_ok. Estimated TOC by volumetric @ 1182 mMD, total 9.86 m3 of spacer return (Plan TOC @ 1428.6 mMD). No losses during cement job."
17/01/2014,C1,"Hold PJSM. Pick up shoe joint and check floats (Eccentric float shoe). RIH with 7"" 29# T95 TPCQ casing to 1900 mMD.   Note: Avg running speed 27 JPH.  No mud losses.  "
17/01/2014,F3,"Observe loss rate 1 bbl/min while drilling. Stop drilling. Circulate to check loss rate.           - At 800 lpm, loss rate 60 bbl/hr. Loss 25 bbl.           - At 600 lpm, no loss. Gain 14 bbl.           - At 700 lpm, no loss.           - At 800 lpm (2nd time), loss rate 12 bbl/hr.           - At 750 lpm, no loss."
17/01/2014,F1,"Drill 6-1/8"" directional hole  [AGS/MWD]  from 2776 mMD to 3045 mMD/2506.5 mTVD with 1.64/1.65 SG SDF.  Max gas 21.84% @ 2886 mMD. BG 0.80%. BHCT 138?C @ 3018.4 mMD. Rotate: WOB 10-14 klbs, 160-240 rpm, 700-750 lpm, FG = 2700 psi/ UG = 2400 psi.  Torque on/off bottom 7-9/6 kft-lbs.  Rotate: 311 m, 15.75 hrs, Avg rotate ROP 19.8 m/hr. P/U wt 190 klbs, S/O wt 115 klbs, Rot wt 150 klbs Note: - Maintain 3 ppb of G-Seal plus and G-Seal HRG Fine            - Observe connection gas every stands from 2656 mMD           - Increase MW to 1.65 SG SDF at 2797 mMD/2330.7 mTVD           - At 2814 mMD, observe loss 60 bbl/hr @ 750 lpm. Loss 11 bbl. Reduce flow rate to              700 lpm, gain 10 bbl. No losses at 700 lpm.           - Continue drilling with 700 lpm after 2814 mMD.           - Pump pill (15 ppb G-seal plus and 15 ppb G-Seal HRG Fine) at 2859 and 2888 mMD.           - Formation 2C 60-100%Clay,tr-40%Sst,tr-10% Coal.Top of 2C at 2480 mMD/2096.2 mTVD.           - Formation 2B 25-100%Clay,tr-75%Sst,tr-10% Coal.Top of 2B at 2783 mMD/2320.6 mTVD.           - Well path at midnight: 2.7 m above and 9.9 m right of the plan.  00:00 - 06:00 hrs Operations ======================= 00:00 - 06:00 hrs Continue drill 6-1/8"" directional hole [AGS/MWD] from 3045 mMD to 3107 mMD/2550.6 mTVD. BHCT 142.5?C @ 3076 mMD. Note: - Maintain 3 ppb of G-Seal plus and G-Seal HRG Fine           - Current well path: 2.6 m above and 10.2 m right of the plan. "
17/01/2014,P4F,"Hold PJSM. Nipple down bell nipple and BOP. *****Rig release from AT-22-J_ST at 09:00 hrs*****     Offline operation ==============  Terminate and exit control line at wellhead. Install cement bonnet. Rig up cement head and lines. Circulate prior to cement job (700 lpm, 3400 psi), max gas 0.97%. Flow line temp stabilize at 69 ?C. Rig pump 1.59 m3 of Base Oil and pump 33.4 m3 1.68 SG HT-MCS-GS spacer. Displace with 1.27 m3 of sea water. Line up to cement unit. Pressure test cement line to 6500 psi. Mix and pump 37.2 m3 of 1.90 SG single gas tight slurry (use hole size = 6.7"", no excess). Flush line with 0.79 m3 DW. Drop wiper plug. Displace with 10.8 m3 of 1.03 SG retarded brine. Bump plug at 3370 psi with 143 lpm (calc 3217 psi). CIP @ 17:22 hrs. Attempt to pressure test tubing to 5500 psi. After going to 3410 psi, pressure drop to 3280 mMD. Perform inflow test 2000/1000 psi for 5 mins. Bleed off, fluid flow back 0.2 m3. Check float holding_ok. Est TOC @ 1271 mMD (plan TOC @ 1428 mMD). Spacer return 14.3 m3. No losses during cement job. Check DHSV hydraulic return 9000/7000 psi : 135/115 cc. Cycle DHSV 10 times after cement wiper plug pass DHSV."
17/01/2014,P4F,"Continue to RIH 2-7/8"" 6.4# 13CR L80 JFEBear from 2962 mMD to 3447 mMD. No mud losses. Note: - Running speed: 30 JPH."
17/01/2014,P4F,"Make up circulating swedge. Circulate with 675 lpm, 3000 psi and 20 m pipe reciprocation. No mud losses. Max gas 3.84% "
17/01/2014,C1A,"Retreive wear bushing and flush wellhead profile.  00:00 - 06:00 hrs Operation  =======================  00:00 - 01:45 hrs  Hold PJSM. Change out UPR to 7"".  Note: - Close Blind/shear ram. Flow check well thru choke while change out UPR.           - Change out BX-45 insert from 5"" to 7"".           - Rig up 7"" casing handling equipment.  01:45 - 02:45 hrs Install test plug. Pressure test bonnet seals by CMT unit to 300/3500 psi - 5/10 mins. Pull and lay down test plug.  02:45 - 03:15 hrs Rig up 7"" casing handling equipment. 03:15 - 06:00 hrs  Hold PJSM. Pick up shoe joint and check floats (Eccentric float shoe). RIH with 7"" 29# T95 TPCQ casing to 450 mMD.  Note: Avg running speed 20 JPH.  No mud losses.  "
17/01/2014,F3,"Circulate bottom up (800 lpm, 2700 psi).  00:00 - 06:00 hrs Operations ======================= 00:00 - 02:45 hrs Check AGS pressure (800 lpm, FG = 2700 psi, UG 2450 psi). Drill 6-1/8"" hole from 2734 mMD to 2776 mMD/2315.5 mTVD with 1.64 SG SDF. 02:45 - 04:00 hrs Observe loss rate 1 bbl/min while drilling. Stop drilling. Circulate to check loss rate.           - At 800 lpm, loss rate 60 bbl/hr. Loss 25 bbl.           - At 600 lpm, no loss. Gain 14 bbl.           - At 700 lpm, no loss.           - At 800 lpm (2nd time), loss rate 12 bbl/hr.           - At 750 lpm, no loss. 04:00 - 06:00 hrs Continue drill 6-1/8"" hole from 2776 mMD to 2808 mMD/2338.7 mTVD with 1.64 SG SDF. BHCT 126 deg C @ 2787 mMD. No losses. Note: - Current well path: 1.6 m above and 6.4 m right of the plan."
18/01/2014,F9,"Pull back inside 7"" casing. Space out tool joint. Flush line and pressure test to 300/2000 psi. Perform FIT to 1.70 SG EMW (939 psi, 1.15 SG SDF, 7"" casing shoe 1202.1 mTVD). Volume pumped/return 0.2 m3. Wash down to bottom.  00:00-06:00 hrs Operations ======================= 00:00-06:00 hrs Drill 6-1/8"" hole (AGS, MWD) from 1429 m to 1640 mMD/ 1383mTVD with 1.15 SG SDF. BHCT 78.5 C. BG 0.6%. No losses. - Last survey at 1598.34 m; 34.01 Inc/61.5 Azi. 2.8 m below and 4.5 m right from the plan."
18/01/2014,P4F,"M/U circulating head. Circulate 2 bottom up prior to M/U DHSV (1190 lpm, 2000 psi). Max gas 17.35%, BG 0.8%. No losses. L/D same."
18/01/2014,P4F,"M/U tubing hanger (with BPV pre-installed). Cut and terminate control line to hanger. M/U hanger running tool and landing string. Connect and pressure test control line 7500 psi. Displace BOP and riser with sea water. Drain BOP stack. RIH to land tubing with 49 klbs string wt. Pressure test hanger seal to 5000 psi/10 min. Expand lock ring. Pull test 10 klbs above P/U weight. Pressure test hanger seal again 5000 psi/15 min. F/S at 3140.9 m, F/C at 3139.9 m, DHSV at 238 m. Total run 244 jts of 3 1/2"" tubing 9.2# HP2-13CR-95 FOX R3 + 5 jts of  9.2# HP2-13CR-95 FOX pup joints + 1 DHSV + 1 F/S + 1 F/C.  Note: - No losses while running completion."
18/01/2014,C3,"Hold PJSM. R/U BOP slings. Power down CAD unit. N/D BOP & riser spools assembly. ***Rig release from BK-30-F to BK-30-D at 12:15 hrs on 02-Feb-14*** Total operating time = 6.30 days vs 7.33 days AFE.  +++Offline Operations +++ 12:15-13:30 hrs Install cement bonnet. Remove BPV. R/U cement head. Install cement lines. 13:30-14:45 hrs Break circulation. Pressure test line to 3500 psi. Circulate prior to cement job (950 lpm, 1800 psi), no losses. Max Gas 10.22%, BG 0.4%. 14:45-15:45 hrs Rig pump 24 m3 of 1.40 SG MCS-GS spacer (870 lpm, 500-800 psi). No losses. 15:45-16:15 hrs Line up to cement unit. Pressure test line to 300/5000 psi. 16:15-17:15 hrs Mix and pump 36.9 m3 of 1.68 SG cement slurry (calculated from 6.4"" OH size +10% excess), TT 3:56 hrs. No losses. Flush line with 5.5 m3 of SW and 0.48 m3 of 1.03 SG retarded KCl brine. 17:15-18:00 hrs Drop plug. Displace with 1.59 m3 of 1.03 SG retarded KCl brine, 11.08 m3 of 0.78 SG Base Oil, and 1.46 m3 of 1.03 SG retarded KCl brine at 160-1100 lpm (1500-3570 psi), Bump plug 3570 psi. No losses. Pressure test tubing to 4000 psi. CIP at 17:45 hrs 18:00-18:30 hrs Perform inflow test 2000/1000 psi for 15 mins. Bleed off, fluid flow back 0.4 m3. Check float, holding. Est TOC 600 m from volumetric, pure spacer return 16.2 m3.  Note: - Pump plug with differential pressure of 3360 psi  - DHSV hydraulic return after finish cement job 6500 psi: 125 cc."
18/01/2014,F1,"Drill 8-1/2"" hole (Motor,MWD) from 356 m to 745 mMD/677.9 mTVD with SW. BHCT 33C. BG 0.6%. No losses. Rotate: WOB 10-20 klbs, 80 rpm, 2500-3000 lpm, SPP 2050-2300 psi Slide: WOB 10 klbs, 2500-3000 lpm, SPP 2050-2200 psi On/off bottom torque 2-4/1-2 kft-lbs P/U wt 130 klbs,S/O wt 110 klbs, Rot wt 120 klbs  Total rotate 336 m/0.68 hrs, Avg rotate ROP 494.1 m/hr. Total slide 53 m/0.57 hrs, Avg slide ROP 93 m/hr - Pump 4.8 m3 Hi-Vis Xanthan Gum sweep after 500 m every 2-3 stands drilled. - Last survey at 700.9 m; 38.94 Inc/288.28 Azi, 7 m below and 0.3 m left from plan.  00:00-06:00 hrs Operations ======================= 00:00-00:30 hrs Drill 8-1/2"" hole (Motor,MWD) from 745 m to 774 mMD/700.8 mTVD with SW.  00:30-01:30 hrs Observe wash pipe leak. Pull back 1 std. R/U circulating head, break circulation every 10 mins to ensure good return whilst change out wash pipe. R/D circulating head. Wash down to bottom. 01:30-06:00 hrs Drill 8-1/2"" hole (Motor,MWD) from 774 m to 1270 mMD/1120 mTVD with SW. BHCT 41C. BG 0.5%. No losses. - Last survey at 1248.22 m; 30.75 Inc/358.94 Azi, 5.6 m above and 1.9 m right from plan."
18/01/2014,F1,"Drill 6-1/8"" hole (AGS, MWD) from 1955 m to 2722 mMD/2350.6 mTVD, 1.15 SG SDF. No losses/connection gas. BHCT 126 C. Peak Gas: 22.7%@2216 mMD/1908.3 mTVD; BG 0.8-1.0%. Rotate: WOB 6-14 klbs, 100-220 rpm, 1000 lpm, SPP 2300 psi (UG), 2800 psi (FG) with 65% FG. Torque on/off bottom 7-12/5-7 kft-lbs. P/U wt 202 klbs, S/O wt 130 klbs, Rot wt 157 klbs. Total rotate767 m/20.28 hrs; Avg rotate ROP 37.8 m/hr. - Top 2A at 2010 mMD/1735.2 mTVD. - Top FM1 at 2310 mMD/1990.5 mTVD. - Add and maintain 1 ppb each of G-seal plus, G-seal HRG, (1 sacks/hr) - Pump 3.2 m3 Low-vis/4.8 m3 Hi-den pill every 200 m, cuttings increase 20-30% - Last survey at 2697 mMD/2328.7 mTVD: 29 Inc/30.1 Azi, 5.3 m below and 83.8 m right.  00:00-06:00 hrs Operations ======================= 00:00-06:00 hrs Drill 6-1/8"" hole (AGS, MWD) from 2722 m to 2866 mMD/ 2477 mTVD, 1.15 SG SDF. BHCT 133 C. BG 0.5%. No losses. - Last survey at 2841 mMD/2455.7 mTVD; 27.7 Inc/30.7 Azi, 15 m  below and 99 m right."
18/01/2014,F1,"Drill 6-1/8"" hole (AGS, MWD) from 1781 m to 1955 mMD/1689 mTVD, 1.15 SG SDF. No losses/connection gas. BHCT 96 C. Peak Gas: 13.2%@1685 mMD/1427 mTVD, 13.7%@1902 mMD/1643 mTVD, 10.1%@1930 mMD/1667.5 mTVD; BG 0.8-1.0%. Rotate: WOB 6-14 klbs, 120-220 rpm, 1000 lpm, SPP 2100 psi (UG), 2600 psi (FG) with 55% FG. Torque on/off bottom 6.5-5/4-5 kft-lbs. P/U wt 166 klbs, S/O wt 102 klbs, Rot wt 133 klbs. Total rotate 553 m/10.07 hrs; Avg rotate ROP 54.9 m/hr. - Top 2C at 1610 mMD/1398.5 mTVD. - Top 2B at 1880 mMD/1625.7 mTVD. - Add and maintain 1 ppb each of G-seal plus, G-seal HRG, (1 sacks/hr) - Pump 3.2 m3 Low-vis/4.8 m3 Hi-den pill every 200 m, cuttings increase 30% - Back ream single for hole cleaning purposes. - Last survey at 1944 mMD/1680 mTVD: 32.4 Inc/25.6 Azi, 20.3 m above and 23.5 m right.  00:00-06:00 hrs Operations ======================= 00:00-06:00 hrs Drill 6-1/8"" hole (AGS, MWD) from 1955 m to 2158 mMD/ 1859.4 mTVD, 1.15 SG SDF. BHCT 108 C. BG 0.6%. No losses. - Top 2A at 2010 mMD/1735.2 mTVD. - Last survey at 2147 mMD/1850.4 mTVD; 32.3 Inc/27.3 Azi, 21.4 m above and 36 m right."
18/01/2014,F1,"Drill 6-1/8"" hole (AGS, MWD) from 1445 m to 1781 mMD/1541.9 mTVD, 1.15 SG SDF, No losses/connection gas. Observe thread jamming while making connection to TDS to drill ahead."
18/01/2014,C2,"Drop top plug. Displace cement with 27.19 m3 of SW. Bump plug 1500 psi, 500 psi above final pumping pressure. Pressure test 7"" casing to 3800 psi/10 min. CIP @ 23:05 hrs. Est TOC 450 m from differential pressure. No losses during cement job. Bleed-off pressure, 0.38 m3 bleed back volume, confirm float hold."
18/01/2014,F1,"Drill 8-1/2"" hole (Motor,MWD) from 774 m to 1402 mMD/1229.5 mTVD (TD) with SW. BHCT 43C. BG 0.8-1%. No losses. Rotate: WOB 10-20 klbs, 80 rpm, 3000 lpm, SPP 2300-2500 psi Slide: WOB 10 klbs, 3000 lpm, SPP 2300-2400 psi On/off bottom torque 4-6/2-3 kft-lbs P/U wt 145 klbs, S/O wt 115 klbs, Rot wt 130 klbs  Total rotate 278 m/1.38 hrs, Avg rotate ROP 201.4 m/hr. Total slide 379 m/2.06 hrs, Avg slide ROP 184 m/hr (slide 58%) - Pump 4.8 m3 Hi-Vis Xanthan Gum sweep after 500 m every 2-3 stands drilled. - Pump 6.4 m3 Hi-Vis Xanthan Gum sweep after 800 m and keep sweep in the hole all time. - Pump 6.4 m3 Hi-Vis PAC/PHPA sweep after 1200 m and keep sweep in the hole all time. - Projection at TD 1402 m; 34.5 Inc/22.5 Azi, 11.7 m above and 0.5 m right from plan. - Avg hole size from carbide lag check first/peak 8.84""/9.26"""
18/01/2014,C2,"R/U cement head and line. Circulate prior to cement job and gas down (1100 lpm, 450 psi). Max gas 4%. No losses."
18/01/2014,F1,"Drill 6-1/8"" hole (AGS, MWD) from 2722 m to 3116 mMD/2699 mTVD, 1.15 SG SDF. No losses/connection gas. "
18/01/2014,F1,"Drill 6-1/8"" hole (AGS, MWD) from 3116 m to 3147 mMD/2726.6 mTVD (Extended TD), with 1.15 SG SDF. No losses/connection gas. BHCT 145C. Max Gas 4.31% @ 2728 mMD/2355.2 mTVD, BG 0.5%.  Rotate: WOB 12-14 klbs, 120-140 rpm, 1000 lpm, SPP 2500 psi (UG), 2900 psi (FG): 54% FG. Torque on/off bottom 11-14/7-10 kft-lbs. P/U wt 236 klbs, S/O wt 148 klbs, Rot wt 177 klbs. Total rotate 425 m/16.38 hrs; Avg rotate ROP 25.9 m/hr. - Add and maintain 1 ppb each of G-seal plus, G-seal HRG, (1 sacks/hr) - Pump 3.2 m3 Low-vis/4.8 m3 Hi-den pill every 200 m, cuttings increase 10-30% - Asset extend target boundary of target ""D"" by 70 m to the right. - Last HC sand 2730 mMD/2357 mTVD. - Projection at TD; 27 Incl/32.3 Azi, 38 m below and 134 m right from the plan."
18/01/2014,F1,"Drill 6-1/8"" hole (Motor, MWD) from 2422 m to 3020 mMD/2033.3 mTVD, 1.15 SG SDF. No losses/connection gas. BHCT 116C. Max Gas: 4.9%@2429mMD/1607.6mTVD, 22.8%@2868mMD/1929.3mTVD, 5.6%@2925mMD/1968.2mTVD. BG 0.8% Rotate: WOB 6-8 klbs, 100 rpm, 1050 lpm, SPP 2600-2900 psi Slide: WOB 5-6 klbs, 1050 lpm, 2500-2900 psi Torque on/off bottom 8-11/6-9 kft-lbs. P/U wt 200 klbs, S/O wt 115 klbs, Rot wt 145 klbs. Total rotate 451.5 m/11.17 hrs; Avg rotate ROP 40.4 m/hr. Total slide 146.5 m/7.05 hrs; Avg slide ROP 20.8 m/hr - Top of 2B: 2620 mMD/1748.3 mTVD. - Top of 2A: 2870 mMD/1930.7 mTVD. - Add and maintain 1 ppb each of G-seal plus, G-seal HRG, (1 sacks/hr) - Pump 3.2 m3 Low-vis/4.8 m3 Hi-den pill every 200 m, cuttings increase 40-50% - BHA tendency in rotary mode drop 0.2 deg/10 m, walk left 0.3 deg/10 m. - Back ream slide stand. - Last survey at 3006mMD/2023.4mTVD: 46.6Inc/97.1Azi, 3 m above and 0.3 m right.  00:00-06:00 hrs Operations ======================= 00:00-06:00 hrs Drill 6-1/8"" hole (Motor, MWD) from 3020 m to 3138 mMD/2116.5 mTVD with 1.15 SG SDF. BHCT 118C. Max Gas: 20.5%@3003mMD/2021.6mTVD, 10.3%@3075mMD/2071.4 mTVD. BG 0.8%. No losses/connection gas. - Last survey at 3121mMD/ 2103.1mTVD; 45.3Inc/96.7Azi, 1.5 m above and 1.2 m left. - BHA tendency in rotary mode drop 0.37 deg/10 m, walk left 0.15 deg/10 m. Note: - From 3130 m, observe difficulties to slide, Motor stalled and pressure spikes, on btm ROP 7-10 m/hr."
18/01/2014,F1,"Drill 8-1/2"" hole (Motor,MWD) from 357 m to 1322 mMD/919 mTVD with SW. BHCT 41C. BG 0.7%. No losses. Rotate: WOB 8-20 klbs, 80-100 rpm, 2500-3000 lpm, SPP 1500-2800 psi Slide: WOB 8-10 klbs, 2500-3000 lpm, SPP 1300-2600 psi On/off bottom torque 3-7/2-5.5 kft-lbs P/U wt 140 klbs,S/O wt 110 klbs, Rot wt 124 klbs Total rotate 721 m/1.65 hrs, Avg rotate ROP 437 m/hr. Total slide 244 m/0.79 hrs, Avg slide ROP 308.9 m/hr - Pump 4.8 m3 Hi-Vis Xanthan Gum sweep after 500 m every 2 stands drilled. - Pump 6.4 m3 Hi-Vis Xanthan Gum sweep after 800 m and keep sweep in the hole all time. - Pump 6.4 m3 Hi-Vis PAC/PHPA sweep after 1200 m and keep sweep in the hole all time. - Last survey at 1277 mMD/ ; 55.3 Inc/60.8 Azi, 17.3 m below and 13.8 m left from plan.  00:00-06:00 hrs Operations ======================= 00:00-06:00 hrs Drill 8-1/2"" hole (Motor,MWD) from 1322 m to 1756 mMD/1175.2 mTVD with SW. BHCT 41C. BG 0.7%. No losses. - From 1726 m, observe difficulties to slide, BHA hanging up and pressure spikes, on btm ROP 20 m/hr. Displace hole to PAC/PHPA mud. - Last survey at 1738.7 mMD/ 1163 mTVD; 45.5 Inc/90.8 Azi, 0.75 m above and 5.53 m right from plan."
18/01/2014,P4F,"M/U tubing hanger (with BPV pre-installed). Cut and terminate control line to hanger. M/U hanger running tool and landing string. Connect and pressure test control line 7500 psi. Displace BOP and riser with sea water. Drain BOP stack. RIH to land tubing with 35 klbs string wt. Pressure test hanger seal to 5000 psi/10 min. Expand lock ring. Pull test 10 klbs above P/U weight. Pressure test hanger seal again 5000 psi/15 min. F/S at 3427.8 m, F/C at 3426.8 m, DHSV at 230 m. Total run 266 jts of 3 1/2"" tubing 9.2# HP2-13CR-95 FOX R3 + 8 jts of  9.2# HP2-13CR-95 FOX pup joints + 1 DHSV + 1 F/S + 1 F/C.  Note: - No losses while running completion."
